,Deutsch,Wissenschaftlich
0,Haselhuhn,Tetrastes+bonasia
1,Auerhuhn,Tetrao+urogallus
2,Birkhuhn,Lyrurus+tetrix
3,Kaukasusbirkhuhn,Lyrurus+mlokosiewiczi
4,Alpenschneehuhn,Lagopus+muta
5,Moorschneehuhn,Lagopus+lagopus
6,Kaspikönigshuhn,Tetraogallus+caspius
7,Chukarhuhn,Alectoris+chukar
8,Felsenhuhn,Alectoris+barbara
9,Rothuhn,Alectoris+rufa
10,Persisches Wüstenhuhn,Ammoperdix+griseogularis
11,Halsbandfrankolin,Francolinus+francolinus
12,Rebhuhn,Perdix+perdix
13,Bartrebhuhn,Perdix+dauurica
14,Wachtel,Coturnix+coturnix
15,Königsfasan,Syrmaticus+reevesii
16,Jagdfasan,Phasianus+colchicus
17,Goldfasan,Chrysolophus+pictus
18,Diamantfasan,Chrysolophus+amherstiae
19,Witwenpfeifgans,Dendrocygna+viduata
20,Ringelgans,Branta+bernicla
21,Rothalsgans,Branta+ruficollis
22,Kanadagans,Branta+canadensis
23,Weißwangengans,Branta+leucopsis
24,Zwergkanadagans,Branta+hutchinsii
25,Streifengans,Anser+indicus
26,Kaisergans,Anser+canagicus
27,Zwergschneegans,Anser+rossii
28,Schneegans,Anser+caerulescens
29,Graugans,Anser+anser
30,Schwanengans,Anser+cygnoides
31,Waldsaatgans,Anser+fabalis
32,Kurzschnabelgans,Anser+brachyrhynchus
33,Tundrasaatgans,Anser+serrirostris
34,Blässgans,Anser+albifrons
35,Zwerggans,Anser+erythropus
36,Schwarzschwan,Cygnus+atratus
37,Höckerschwan,Cygnus+olor
38,Zwergschwan,Cygnus+columbianus
39,Singschwan,Cygnus+cygnus
40,Nilgans,Alopochen+aegyptiaca
41,Magellangans,Chloephaga+picta
42,Brandgans,Tadorna+tadorna
43,Rostgans,Tadorna+ferruginea
44,Graukopfkasarka,Tadorna+cana
45,Moschusente,Cairina+moschata
46,Brautente,Aix+sponsa
47,Mandarinente,Aix+galericulata
48,Gluckente,Sibirionetta+formosa
49,Knäkente,Spatula+querquedula
50,Blauflügelente,Spatula+discors
51,Löffelente,Spatula+clypeata
52,Schnatterente,Mareca+strepera
53,Sichelente,Mareca+falcata
54,Pfeifente,Mareca+penelope
55,Kanadapfeifente,Mareca+americana
56,Stockente,Anas+platyrhynchos
57,Dunkelente,Anas+rubripes
58,Fahlente,Anas+capensis
59,Spießente,Anas+acuta
60,Krickente,Anas+crecca
61,Carolinakrickente,Anas+carolinensis
62,Marmelente,Marmaronetta+angustirostris
63,Kolbenente,Netta+rufina
64,Riesentafelente,Aythya+valisineria
65,Rotkopfente,Aythya+americana
66,Tafelente,Aythya+ferina
67,Moorente,Aythya+nyroca
68,Ringschnabelente,Aythya+collaris
69,Reiherente,Aythya+fuligula
70,Bergente,Aythya+marila
71,Kanadabergente,Aythya+affinis
72,Scheckente,Polysticta+stelleri
73,Prachteiderente,Somateria+spectabilis
74,Eiderente,Somateria+mollissima
75,Kragenente,Histrionicus+histrionicus
76,Brillenente,Melanitta+perspicillata
77,Samtente,Melanitta+fusca
78,Höckersamtente,Melanitta+deglandi
79,Trauerente,Melanitta+nigra
80,Pazifiktrauerente,Melanitta+americana
81,Eisente,Clangula+hyemalis
82,Büffelkopfente,Bucephala+albeola
83,Schellente,Bucephala+clangula
84,Spatelente,Bucephala+islandica
85,Zwergsäger,Mergellus+albellus
86,Kappensäger,Lophodytes+cucullatus
87,Gänsesäger,Mergus+merganser
88,Mittelsäger,Mergus+serrator
89,Schwarzkopf-Ruderente,Oxyura+jamaicensis
90,Weißkopf-Ruderente,Oxyura+leucocephala
91,Falkennachtschwalbe,Chordeiles+minor
92,Rothals-Ziegenmelker,Caprimulgus+ruficollis
93,Nachtschwalbe,Caprimulgus+europaeus
94,Pharaonennachtschwalbe,Caprimulgus+aegyptius
95,Stachelschwanzsegler,Hirundapus+caudacutus
96,Schornsteinsegler,Chaetura+pelagica
97,Alpensegler,Tachymarptis+melba
98,Mauersegler,Apus+apus
99,Fahlsegler,Apus+pallidus
100,Haussegler,Apus+affinis
101,Kaffernsegler,Apus+caffer
102,Großtrappe,Otis+tarda
103,Steppenkragentrappe,Chlamydotis+macqueenii
104,Zwergtrappe,Tetrax+tetrax
105,Häherkuckuck,Clamator+glandarius
106,Gelbschnabelkuckuck,Coccyzus+americanus
107,Schwarzschnabelkuckuck,Coccyzus+erythropthalmus
108,Hopfkuckuck,Cuculus+saturatus
109,Kuckuck,Cuculus+canorus
110,Steppenflughuhn,Syrrhaptes+paradoxus
111,Spießflughuhn,Pterocles+alchata
112,Tropfenflughuhn,Pterocles+senegallus
